trial_index,regularization,class_weight_balanced,split_index,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score,optimization_success,mean_gate_metadata,mean_gate_uni2,mean_gate_virchow2,mean_gate_prism2
7,100.0,True,1,0,1,0.8872040640518902,0.6119047619047618,0.749554412978326,True,0.04999547,0.2500038,0.049993135,0.6500076
7,100.0,True,2,0,2,0.8923025163242555,0.5166666666666667,0.7044845914954612,True,0.049995523,0.25000665,0.049993623,0.6500041
7,100.0,True,3,0,3,0.8432542457542459,0.4404761904761905,0.6418652181152182,True,0.049988393,0.24988501,0.0499881,0.65013844
7,100.0,True,4,0,4,0.8876442941116853,0.511904761904762,0.6997745280082237,True,0.049991015,0.24985103,0.049981672,0.6501762
7,100.0,True,5,1,0,0.8698747813033528,0.4571428571428572,0.663508819223105,True,0.049992777,0.24993,0.049993638,0.65008366
7,100.0,True,6,1,1,0.9253799642386599,0.7166666666666667,0.8210233154526633,True,0.04999144,0.24991576,0.049992464,0.6501003
7,100.0,True,7,1,2,0.8731888401453619,0.5476190476190477,0.7104039438822047,True,0.049993344,0.24994357,0.049990986,0.6500721
7,100.0,True,8,1,3,0.8771549284049284,0.4523809523809524,0.6647679403929404,True,0.049992003,0.24993105,0.04999147,0.6500855
7,100.0,True,9,1,4,0.8736771380793121,0.46190476190476193,0.667790949992037,True,0.049992945,0.24994172,0.049988747,0.65007657
7,100.0,True,10,2,0,0.9145807895807897,0.6238095238095237,0.7691951566951567,True,0.049997244,0.25000754,0.04999569,0.64999956
7,100.0,True,11,2,1,0.9108261665870361,0.6333333333333334,0.7720797499601848,True,0.04999661,0.24996278,0.04998867,0.65005195
7,100.0,True,12,2,2,0.8876557862427428,0.5,0.6938278931213714,True,0.049995992,0.24998581,0.049996097,0.6500221
7,100.0,True,13,2,3,0.8426202963702963,0.40476190476190477,0.6236911005661006,True,0.049990993,0.24996185,0.04999272,0.65005445
7,100.0,True,14,2,4,0.8717220098741837,0.5047619047619049,0.6882419573180443,True,0.0499956,0.24999823,0.049995203,0.65001094
