representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_concat,7,0.1,balanced,1,3,0.8356335331335332,0.4523809523809524,0.6440072427572427
early_concat,7,0.1,balanced,1,4,0.8543340174318436,0.47380952380952385,0.6640717706206837
early_concat,7,0.1,balanced,2,0,0.8577092219949362,0.5319727891156463,0.6948410055552912
early_concat,7,0.1,balanced,2,1,0.8807483277591973,0.6047619047619046,0.742755116260551
early_concat,7,0.1,balanced,2,2,0.8619888625866886,0.45238095238095244,0.6571849074838205
early_concat,7,0.1,balanced,2,3,0.7793976856476855,0.36904761904761907,0.5742226523476524
early_concat,7,0.1,balanced,2,4,0.858466099118273,0.49761904761904757,0.6780425733686603
early_concat,8,1.0,none,0,0,0.7391377934235077,0.33571428571428574,0.5374260395688968
early_concat,8,1.0,none,0,1,0.8466209153165675,0.44523809523809527,0.6459295052773314
early_concat,8,1.0,none,0,2,0.8699140352401222,0.5047619047619047,0.6873379700010135
early_concat,8,1.0,none,0,3,0.7612429237429238,0.38095238095238093,0.5710976523476523
early_concat,8,1.0,none,0,4,0.8585301111931546,0.42857142857142855,0.6435507698822915
early_concat,8,1.0,none,1,0,0.8275929625929627,0.3448979591836735,0.5862454608883181
early_concat,8,1.0,none,1,1,0.8276310464897422,0.5452380952380952,0.6864345708639187
early_concat,8,1.0,none,1,2,0.8539087542891891,0.5,0.6769543771445945
early_concat,8,1.0,none,1,3,0.8221341158841158,0.40476190476190477,0.6134480103230102
early_concat,8,1.0,none,1,4,0.8492561786040047,0.4976190476190476,0.6734376131115262
early_concat,8,1.0,none,2,0,0.8579473172330314,0.5319727891156463,0.6949600531743388
early_concat,8,1.0,none,2,1,0.8784268991877688,0.6404761904761903,0.7594515448319796
early_concat,8,1.0,none,2,2,0.8605233534581359,0.45238095238095244,0.6564521529195442
early_concat,8,1.0,none,2,3,0.7677002164502165,0.40476190476190477,0.5862310606060606
early_concat,8,1.0,none,2,4,0.8578035732383558,0.5452380952380952,0.7015208342382255
early_concat,9,1.0,balanced,0,0,0.7358512651369795,0.3153061224489796,0.5255786937929796
early_concat,9,1.0,balanced,0,1,0.8452928050210657,0.5166666666666667,0.6809797358438663
early_concat,9,1.0,balanced,0,2,0.8680695029608073,0.5047619047619047,0.6864157038613561
