representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
uni2,3,0.001,balanced,1,4,0.8049012943578161,0.40952380952380957,0.6072125519408128
uni2,3,0.001,balanced,2,0,0.8231440781440782,0.3615646258503401,0.5923543519972092
uni2,3,0.001,balanced,2,1,0.8294031692944737,0.35714285714285715,0.5932730132186654
uni2,3,0.001,balanced,2,2,0.7964261463174507,0.4095238095238095,0.6029749779206302
uni2,3,0.001,balanced,2,3,0.8395200632700633,0.42857142857142855,0.6340457459207459
uni2,3,0.001,balanced,2,4,0.8290329959895176,0.4928571428571429,0.6609450694233303
uni2,4,0.01,none,0,0,0.7593165564594136,0.39999999999999997,0.5796582782297068
uni2,4,0.01,none,0,1,0.8253953836019052,0.39285714285714285,0.609126263229524
uni2,4,0.01,none,0,2,0.79725301872041,0.4214285714285714,0.6093407950744907
uni2,4,0.01,none,0,3,0.829652847152847,0.42857142857142855,0.6291121378621378
uni2,4,0.01,none,0,4,0.8109845227236532,0.3095238095238095,0.5602541661237314
uni2,4,0.01,none,1,0,0.8273902288188003,0.3925170068027211,0.6099536178107607
uni2,4,0.01,none,1,1,0.8562132975719933,0.5571428571428572,0.7066780773574253
uni2,4,0.01,none,1,2,0.8628758198323416,0.3619047619047619,0.6123902908685518
uni2,4,0.01,none,1,3,0.8184873459873458,0.41666666666666663,0.6175770063270063
uni2,4,0.01,none,1,4,0.8222076655228829,0.4023809523809524,0.6122943089519177
uni2,4,0.01,none,2,0,0.8292310863739434,0.504421768707483,0.6668264275407132
uni2,4,0.01,none,2,1,0.8502884615384616,0.5571428571428572,0.7037156593406594
uni2,4,0.01,none,2,2,0.8375168671907803,0.3857142857142857,0.6116155764525331
uni2,4,0.01,none,2,3,0.8403841991341992,0.380952380952381,0.61066829004329
uni2,4,0.01,none,2,4,0.8214116318464144,0.4571428571428572,0.6392772444946357
uni2,5,0.01,balanced,0,0,0.7628147249575823,0.37959183673469393,0.5712032808461381
uni2,5,0.01,balanced,0,1,0.8234845227236532,0.4404761904761905,0.6319803565999219
uni2,5,0.01,balanced,0,2,0.7930670778496866,0.4214285714285714,0.607247824639129
uni2,5,0.01,balanced,0,3,0.8299234099234098,0.4761904761904762,0.6530569430569431
uni2,5,0.01,balanced,0,4,0.8151921267138659,0.42857142857142855,0.6218817776426472
uni2,5,0.01,balanced,1,0,0.8326812341098054,0.3925170068027211,0.6125991204562633
uni2,5,0.01,balanced,1,1,0.8558794466403163,0.5571428571428572,0.7065111518915868
uni2,5,0.01,balanced,1,2,0.8597288219027349,0.4333333333333333,0.6465310776180341
uni2,5,0.01,balanced,1,3,0.8281880619380618,0.38095238095238093,0.6045702214452213
uni2,5,0.01,balanced,1,4,0.8261802328106677,0.4023809523809524,0.61428059259581
uni2,5,0.01,balanced,2,0,0.834733731876589,0.40442176870748303,0.619577750292036
uni2,5,0.01,balanced,2,1,0.8485714285714286,0.5214285714285715,0.685
uni2,5,0.01,balanced,2,2,0.8292291766204809,0.5047619047619047,0.6669955406911928
uni2,5,0.01,balanced,2,3,0.8442965367965368,0.380952380952381,0.6126244588744589
uni2,5,0.01,balanced,2,4,0.8211866756431974,0.4571428571428572,0.6391647663930273
uni2,6,0.1,none,0,0,0.7562721934150506,0.35102040816326535,0.553646300789158
uni2,6,0.1,none,0,1,0.8155107030650509,0.41666666666666663,0.6160886848658588
uni2,6,0.1,none,0,2,0.8033731485905399,0.46904761904761905,0.6362103838190795
uni2,6,0.1,none,0,3,0.8199321511821511,0.40476190476190477,0.612347027972028
